DATE,DATA,OFFER,CONVERSION,REVENUE
29-04-2026,cc05ac,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,1,205
29-04-2026,cc06ai,19077 - [HEALTH] Jellytide VSL BH*,1,180
28-04-2026,cg01ag,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
25-04-2026,kg01ak,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,18.93
24-04-2026,cc05aa,669 - Neuro Salt VSL v2 BH,1,140
24-04-2026,kg01ag,235 - Breathe,1,130
24-04-2026,,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
24-04-2026,ub01ac,16812 - [HEALTH] Brain Song VSL,1,45
24-04-2026,ub01ai,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
23-04-2026,ck07ac,474 - Professional Whos Who,1,20
22-04-2026,cc05aa,647 - Corestrength VSL BH,1,140
21-04-2026,cc06ad,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
21-04-2026,ub01aa,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
20-04-2026,cc06ag,474 - Professional Whos Who,1,20
18-04-2026,kg01ad,129 - Nerve Fresh Private,1,120
18-04-2026,cd12ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
18-04-2026,dg01ae,196 - CPA Email Lymph System Support,1,170
17-04-2026,cc06ah,196 - CPA Email Lymph System Support,1,170
17-04-2026,ck07ai,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,18.93
17-04-2026,kg01ad,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
16-04-2026,xa02ne,129 - Nerve Fresh Private,1,120
16-04-2026,cc06ad,235 - Breathe,1,130
14-04-2026,ck12bi,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
13-04-2026,dg01ad,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
12-04-2026,cc06aj,235 - Breathe,1,130
12-04-2026,ck07aa,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
11-04-2026,kg01ak,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
11-04-2026,kg01aa,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
11-04-2026,cc06ak,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
09-04-2026,ck07ac,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
09-04-2026,cc06ae,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
09-04-2026,kg01aa,16307 - [ECOMMERCE] Amazon SPRING Steals Listicle Revshare,1,52.36
09-04-2026,cc06ag,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
08-04-2026,cc06ai,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
08-04-2026,dg01ab,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),1,72
07-04-2026,dg01aa,16812 - [HEALTH] Brain Song VSL,1,45
06-04-2026,ub01ad,15048 - [HEALTH] ConoCB2 Pain Relief Natural TSL v2,1,58.5
04-04-2026,cc05ab,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
04-04-2026,ub01ag,15048 - [HEALTH] ConoCB2 Pain Relief Natural TSL v2,1,58.5
03-04-2026,cg01ad,15048 - [HEALTH] ConoCB2 Pain Relief Natural TSL v2,1,58.5
03-04-2026,,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
27-03-2026,ga01ai,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
26-03-2026,cc05ac,620 - The Sciatica Pillow,1,30
26-03-2026,,488 - Arctic Blast,1,50
26-03-2026,dg01aa,18710 - [HEALTH] Memory On VSL BH*,1,180
26-03-2026,ub01ac,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),1,72
25-03-2026,,585 - [HEALTH] MemoGenesis v2 VSL BH*,1,140
24-03-2026,cc05ac,611 - CVS Pharmacy Revshare,1,16.728
24-03-2026,ck12bl,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
24-03-2026,dg01aa,488 - Arctic Blast,1,50
24-03-2026,kg01ak,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
23-03-2026,cc05aa,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,1,40
23-03-2026,,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),1,72
23-03-2026,,488 - Arctic Blast,1,50
23-03-2026,ub01ah,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
22-03-2026,cc06ai,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
21-03-2026,ck12bo,488 - Arctic Blast,1,50
21-03-2026,,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),1,72
21-03-2026,ag04bc,472 - USA Military Savings - Veterans Savings Listicle,1,25.84
21-03-2026,,196 - CPA Email Lymph System Support,1,170
21-03-2026,cn06ac,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
21-03-2026,ub01ai,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
20-03-2026,ck07ah,17083 - [HEALTH] Hidden Epidemic VSL,1,94.5
20-03-2026,ua01ab,18738 - [HEALTH] Presgera VSL v2 BH,1,185
20-03-2026,kg01af,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
20-03-2026,ub01ag,17532 - [HEALTH] GL Defend VSL,1,130.5
20-03-2026,,17532 - [HEALTH] GL Defend VSL,1,130.5
20-03-2026,cc05ac,107 - NHMD CPA Email Gluco24,1,110
20-03-2026,,583 - [HEALTH] UroFlow v2 VSL BH*,1,150
20-03-2026,cc06af,472 - USA Military Savings - Veterans Savings Listicle,1,7.752
20-03-2026,,16985 - [HEALTH] RFK Method VSL (Approved Only),1,94.5
20-03-2026,ck07ac,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,18.93
20-03-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,18.93
19-03-2026,ga01an,529 - HEALTH - Warburg,1,70
19-03-2026,,529 - HEALTH - Warburg,1,70
19-03-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
19-03-2026,cc06ag,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
19-03-2026,kg01ag,488 - Arctic Blast,1,50
19-03-2026,,488 - Arctic Blast,1,50
19-03-2026,cc06ad,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),1,72
19-03-2026,,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
19-03-2026,,296 - TruthFinder,1,60
19-03-2026,kg01ad,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
19-03-2026,,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
19-03-2026,cc05ab,600 - Elf Labs Reg A+,1,130
19-03-2026,kg01al,18521 - [HEALTH] Presgera VSL BH,1,185
18-03-2026,cc05aa,596 - Insurify Auto,1,23
18-03-2026,,596 - Insurify Auto,1,23
18-03-2026,cc05ac,596 - Insurify Auto,1,23
18-03-2026,ag01ae,12 - Jointgen,1,120
18-03-2026,kg01ag,18521 - [HEALTH] Presgera VSL BH,1,185
18-03-2026,ag01ai,18521 - [HEALTH] Presgera VSL BH,1,185
18-03-2026,,18521 - [HEALTH] Presgera VSL BH,1,185
18-03-2026,kg01ae,488 - Arctic Blast,1,50
18-03-2026,cc06ak,18758 - [ADULT] Mens Growth VSL BH,1,180
18-03-2026,kg01ar,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
18-03-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,18.93
18-03-2026,cn06ad,585 - [HEALTH] MemoGenesis v2 VSL BH*,1,140
18-03-2026,ub01ad,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
18-03-2026,cc06ae,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
18-03-2026,,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
17-03-2026,kg01ac,584 - [HEALTH] NerveFlow v2 VSL BH*,1,140
17-03-2026,cc06ae,548 - Nail Refresh,1,120
17-03-2026,cc05ac,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,1,4.5
17-03-2026,ag01ae,18521 - [HEALTH] Presgera VSL BH,1,185
16-03-2026,cc05ab,338 - CPA Email AV Liberty Heart,1,170
16-03-2026,cc06ah,585 - [HEALTH] MemoGenesis v2 VSL BH*,1,140
16-03-2026,dg01ac,18757 - [HEALTH] Sonus Zen VSL BH*,1,180
16-03-2026,cc05ab,586 - Immersed,1,110
16-03-2026,ga01an,18521 - [HEALTH] Presgera VSL BH,1,185
16-03-2026,ub01af,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
15-03-2026,cc05ac,196 - CPA Email Lymph System Support,1,170
15-03-2026,cc05aa,496 - GLPro,1,140
15-03-2026,ck07aa,18521 - [HEALTH] Presgera VSL BH,1,185
15-03-2026,ck07ai,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
15-03-2026,,18791 - [HEALTH] BurnSlim 1.2 VSL BH*,1,190
15-03-2026,,18521 - [HEALTH] Presgera VSL BH,1,185
14-03-2026,cc06af,17239 - [GOVT] U.S. Concealed Carry- Concealed Carry Gun Laws & Reciprocity Map CPL,1,4.5
14-03-2026,cc05ac,18842 - [SURVEY] America VS. Iran CPA,1,24
14-03-2026,ua01cb,18521 - [HEALTH] Presgera VSL BH,1,185
13-03-2026,cc06ah,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
13-03-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,1,21.03
13-03-2026,kg01aj,551 - RAD Intel Reg A+,1,125
13-03-2026,ga01ap,14951 - [HEALTH] Warbug VSL (Approved Only),1,76.5
13-03-2026,ck12bm,18521 - [HEALTH] Presgera VSL BH,1,185
13-03-2026,ag01an,18521 - [HEALTH] Presgera VSL BH,1,185
05-05-2026,cc05ac,18778 - [GOVT] Country Wide Concealed CPL (Approved Only),0,0
05-05-2026,cc06ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
04-05-2026,dg01ad,647 - Corestrength VSL BH,0,0
04-05-2026,cc06ae,19121 - [HEALTH] Gluconara VSL BH*,0,0
04-05-2026,ag04ba,562 - [SWEEPS] State Farm- Fire Emergency Kit,0,0
04-05-2026,kg01ab,19073 - [HEALTH] Shape-On VSL v2 BH*,0,0
04-05-2026,cc06aj,19077 - [HEALTH] Jellytide VSL BH*,0,0
04-05-2026,cn06ai,131 - Amazon: Spring Deals Listicle,0,0
04-05-2026,cg01ab,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
04-05-2026,,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
04-05-2026,ck07ac,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
04-05-2026,cc05ac,19105 - [HEALTH] Paratoxil VSL,0,0
03-05-2026,ub01ai,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
03-05-2026,,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
03-05-2026,ub01ab,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
03-05-2026,dg01aa,19049 - [ECOMMERCE] Breeze Box ? Portable AC Advertorial,0,0
02-05-2026,,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
02-05-2026,xa14he,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
02-05-2026,ag04ba,19105 - [HEALTH] Paratoxil VSL,0,0
02-05-2026,kg01ag,235 - Breathe,0,0
02-05-2026,cg01ae,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
02-05-2026,wn04aa,19077 - [HEALTH] Jellytide VSL BH*,0,0
02-05-2026,cc05ab,94 - NHMD CPA Email Cleanse24,0,0
01-05-2026,cc05ab,16985 - [HEALTH] RFK Method VSL (Approved Only),0,0
01-05-2026,cc05aa,19073 - [HEALTH] Shape-On VSL v2 BH*,0,0
01-05-2026,cc06ah,562 - [SWEEPS] State Farm- Fire Emergency Kit,0,0
01-05-2026,ub01ab,131 - Amazon: Spring Deals Listicle,0,0
01-05-2026,,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
01-05-2026,cc06aj,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
01-05-2026,ck12bi,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
30-04-2026,cg01af,129 - Nerve Fresh Private,0,0
30-04-2026,dg01ab,647 - Corestrength VSL BH,0,0
30-04-2026,,131 - Amazon: Spring Deals Listicle,0,0
30-04-2026,dg01ad,131 - Amazon: Spring Deals Listicle,0,0
30-04-2026,cc05ab,19083 - [HEALTH] Leandrops Pink Gelatin 1.1 v3 VSL BH*,0,0
30-04-2026,ga01ai,19077 - [HEALTH] Jellytide VSL BH*,0,0
30-04-2026,ag01ad,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
30-04-2026,ag04bf,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
29-04-2026,,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
29-04-2026,dg01aa,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
29-04-2026,xa25ne,129 - Nerve Fresh Private,0,0
29-04-2026,ag04bb,647 - Corestrength VSL BH,0,0
29-04-2026,cg01ad,19073 - [HEALTH] Shape-On VSL v2 BH*,0,0
29-04-2026,kg01ac,19091 - [HEALTH] Leandrops Pink Gelatin 1.2 VSL BH*,0,0
29-04-2026,cc06aj,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
29-04-2026,cc06af,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
29-04-2026,kg01ad,129 - Nerve Fresh Private,0,0
29-04-2026,ub01ai,131 - Amazon: Spring Deals Listicle,0,0
28-04-2026,,489 - SlimBliss,0,0
28-04-2026,wn04aa,489 - SlimBliss,0,0
28-04-2026,ck07ab,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
28-04-2026,ck08ay,669 - Neuro Salt VSL v2 BH,0,0
28-04-2026,dg01ae,18710 - [HEALTH] Memory On VSL BH*,0,0
28-04-2026,xa02ne,129 - Nerve Fresh Private,0,0
28-04-2026,ga01aj,9 - Brain Savior Private V2,0,0
28-04-2026,cc06ad,235 - Breathe,0,0
28-04-2026,cg01af,131 - Amazon: Spring Deals Listicle,0,0
28-04-2026,ga01ae,131 - Amazon: Spring Deals Listicle,0,0
28-04-2026,cd12ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
28-04-2026,,669 - Neuro Salt VSL v2 BH,0,0
28-04-2026,wn04aa,669 - Neuro Salt VSL v2 BH,0,0
28-04-2026,,645 - Glucozen 2.0 VSL BH,0,0
28-04-2026,wn04aa,645 - Glucozen 2.0 VSL BH,0,0
27-04-2026,ag04bx,131 - Amazon: Spring Deals Listicle,0,0
27-04-2026,cd12ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
27-04-2026,wn04aa,17083 - [HEALTH] Hidden Epidemic VSL,0,0
26-04-2026,ub01ag,647 - Corestrength VSL BH,0,0
26-04-2026,,16812 - [HEALTH] Brain Song VSL,0,0
26-04-2026,cc05ab,16812 - [HEALTH] Brain Song VSL,0,0
26-04-2026,ub01ac,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
26-04-2026,ub01ad,131 - Amazon: Spring Deals Listicle,0,0
26-04-2026,cd12ad,131 - Amazon: Spring Deals Listicle,0,0
26-04-2026,,131 - Amazon: Spring Deals Listicle,0,0
26-04-2026,ag01al,131 - Amazon: Spring Deals Listicle,0,0
26-04-2026,ub01ag,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
26-04-2026,,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
26-04-2026,ga01ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
26-04-2026,,647 - Corestrength VSL BH,0,0
26-04-2026,wn04aa,16812 - [HEALTH] Brain Song VSL,0,0
25-04-2026,dg01ab,131 - Amazon: Spring Deals Listicle,0,0
25-04-2026,dg01ae,131 - Amazon: Spring Deals Listicle,0,0
25-04-2026,ck12bo,17083 - [HEALTH] Hidden Epidemic VSL,0,0
25-04-2026,ub01ag,669 - Neuro Salt VSL v2 BH,0,0
25-04-2026,ck07ak,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
25-04-2026,kg01ak,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
24-04-2026,,139 - Endo Pump,0,0
24-04-2026,cg01ae,18999 - [HEALTH] SugarHarmony ? Glyco 2.0 VSL BH*,0,0
24-04-2026,cc06ak,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
24-04-2026,dg01ad,17532 - [HEALTH] GL Defend VSL,0,0
24-04-2026,kg01ag,235 - Breathe,0,0
24-04-2026,dg01aa,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
24-04-2026,dg01ad,645 - Glucozen 2.0 VSL BH,0,0
24-04-2026,ub01ac,16812 - [HEALTH] Brain Song VSL,0,0
24-04-2026,ga01ae,555 - [HEALTH] Presgera VSL v2 BH,0,0
24-04-2026,xa10ne,129 - Nerve Fresh Private,0,0
24-04-2026,,129 - Nerve Fresh Private,0,0
24-04-2026,xa16ne,129 - Nerve Fresh Private,0,0
24-04-2026,dg01ae,474 - Professional Whos Who,0,0
24-04-2026,cc06ae,131 - Amazon: Spring Deals Listicle,0,0
24-04-2026,,131 - Amazon: Spring Deals Listicle,0,0
24-04-2026,kg01an,131 - Amazon: Spring Deals Listicle,0,0
23-04-2026,xa24ne,129 - Nerve Fresh Private,0,0
23-04-2026,kg01ab,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
23-04-2026,ck12bm,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
23-04-2026,kg01am,131 - Amazon: Spring Deals Listicle,0,0
23-04-2026,ag10ab,131 - Amazon: Spring Deals Listicle,0,0
23-04-2026,ck07aa,489 - SlimBliss,0,0
23-04-2026,ck08bd,71 - GADGETS: Amazons 2026 Deals Listicle,0,0
23-04-2026,cg01ab,321 - CPA Email PUREANCE HydraLift,0,0
23-04-2026,dg01aa,16812 - [HEALTH] Brain Song VSL,0,0
23-04-2026,cm10aa,554 - [HEALTH] Presgera VSL BH,0,0
23-04-2026,kg01af,16109 - [HEALTH] Advanced Nerve Support VSL v2,0,0
22-04-2026,cn06ai,131 - Amazon: Spring Deals Listicle,0,0
22-04-2026,ag04bd,654 - EXCLUSIVE: Black Electric Lighter,0,0
22-04-2026,kg01ad,19052 - [HEALTH] altRX GLP-1 (Approved Only),0,0
22-04-2026,kg01ai,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
22-04-2026,xa09ne,129 - Nerve Fresh Private,0,0
22-04-2026,cg01ae,304 - Finessa,0,0
22-04-2026,cc05aa,647 - Corestrength VSL BH,0,0
22-04-2026,cc06af,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
22-04-2026,ck07ae,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
22-04-2026,ag01ag,489 - SlimBliss,0,0
22-04-2026,ga01an,131 - Amazon: Spring Deals Listicle,0,0
22-04-2026,cc05ab,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
21-04-2026,ag04bd,196 - CPA Email Lymph System Support,0,0
21-04-2026,ag04bx,131 - Amazon: Spring Deals Listicle,0,0
21-04-2026,cg01ab,321 - CPA Email PUREANCE HydraLift,0,0
21-04-2026,cc06ag,129 - Nerve Fresh Private,0,0
21-04-2026,ub01aa,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
21-04-2026,dg01ac,474 - Professional Whos Who,0,0
20-04-2026,cc06ak,196 - CPA Email Lymph System Support,0,0
20-04-2026,cc05ac,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
20-04-2026,cc06ai,13194 - [ECOMMERCE] ThePhotoStick Omni (Approved Only),0,0
20-04-2026,ua01ab,131 - Amazon: Spring Deals Listicle,0,0
20-04-2026,dg01ae,647 - Corestrength VSL BH,0,0
19-04-2026,ck07ah,17083 - [HEALTH] Hidden Epidemic VSL,0,0
19-04-2026,dg01ab,16812 - [HEALTH] Brain Song VSL,0,0
19-04-2026,,131 - Amazon: Spring Deals Listicle,0,0
19-04-2026,cn06ae,131 - Amazon: Spring Deals Listicle,0,0
19-04-2026,ag04bc,180 - AMAZON: Viral Products Listicle,0,0
19-04-2026,kg01ag,254 - A Place for Mom,0,0
19-04-2026,ub01ae,474 - Professional Whos Who,0,0
19-04-2026,cc06ae,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
19-04-2026,cc05ac,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
18-04-2026,ag01ad,489 - SlimBliss,0,0
18-04-2026,ag04bn,180 - AMAZON: Viral Products Listicle,0,0
18-04-2026,cg01ag,18962 - [ECOMMERCE] FREE 250 Years of Freedom Flag- Just Pay Shipping,0,0
18-04-2026,,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
18-04-2026,dg01ab,15964 - [HEALTH] Unbreakable Brain VSL v2 (US/CA/NZ),0,0
18-04-2026,ub01aa,71 - GADGETS: Amazons 2026 Deals Listicle,0,0
18-04-2026,kg01aa,131 - Amazon: Spring Deals Listicle,0,0
18-04-2026,cc06ag,18999 - [HEALTH] SugarHarmony ? Glyco 2.0 VSL BH*,0,0
18-04-2026,kg01ag,235 - Breathe,0,0
18-04-2026,ub01ad,554 - [HEALTH] Presgera VSL BH,0,0
18-04-2026,xa03ne,129 - Nerve Fresh Private,0,0
18-04-2026,kg01ad,129 - Nerve Fresh Private,0,0
18-04-2026,cc06af,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
18-04-2026,ck12bl,196 - CPA Email Lymph System Support,0,0
18-04-2026,dg01ae,196 - CPA Email Lymph System Support,0,0
18-04-2026,cc05ab,658 - EXCLUSIVE: Camouflage Electric Lighters,0,0
17-04-2026,ag10ag,554 - [HEALTH] Presgera VSL BH,0,0
17-04-2026,ag04bu,131 - Amazon: Spring Deals Listicle,0,0
17-04-2026,ck07ac,705 - Grounded Footwear - Barefoot Shoes - $49.99 - US,0,0
17-04-2026,dg01ab,17532 - [HEALTH] GL Defend VSL,0,0
17-04-2026,,17532 - [HEALTH] GL Defend VSL,0,0
17-04-2026,ga01ap,17532 - [HEALTH] GL Defend VSL,0,0
17-04-2026,cc05ab,17083 - [HEALTH] Hidden Epidemic VSL,0,0
17-04-2026,,17083 - [HEALTH] Hidden Epidemic VSL,0,0
17-04-2026,cc06af,17083 - [HEALTH] Hidden Epidemic VSL,0,0
17-04-2026,xa03ne,129 - Nerve Fresh Private,0,0
17-04-2026,cc06ah,529 - HEALTH - Warburg,0,0
17-04-2026,ub01ab,18962 - [ECOMMERCE] FREE 250 Years of Freedom Flag- Just Pay Shipping,0,0
17-04-2026,ag04ba,16985 - [HEALTH] RFK Method VSL (Approved Only),0,0
17-04-2026,cc05ab,647 - Corestrength VSL BH,0,0
17-04-2026,,647 - Corestrength VSL BH,0,0
17-04-2026,cc06ah,196 - CPA Email Lymph System Support,0,0
17-04-2026,cc06ae,18999 - [HEALTH] SugarHarmony ? Glyco 2.0 VSL BH*,0,0
17-04-2026,ck07ah,16812 - [HEALTH] Brain Song VSL,0,0
17-04-2026,cn06ag,204 - SciatiEase,0,0
17-04-2026,ga01al,15245 - [SURVEY] AAA- Car Emergency Kit Revshare,0,0
17-04-2026,kg01ag,554 - [HEALTH] Presgera VSL BH,0,0
17-04-2026,cc06ah,658 - EXCLUSIVE: Camouflage Electric Lighters,0,0
17-04-2026,,71 - GADGETS: Amazons 2026 Deals Listicle,0,0
17-04-2026,ck12bk,71 - GADGETS: Amazons 2026 Deals Listicle,0,0
17-04-2026,ag10ab,131 - Amazon: Spring Deals Listicle,0,0
17-04-2026,ga01ai,18752 - [DIET] Slim Force VSL BH*,0,0
17-04-2026,cc05aa,235 - Breathe,0,0
17-04-2026,dg01ae,19001 - [HEALTH] MemoGenesis ? Evil Protein 1.1 VSL BH*,0,0
